L1,L2 (Defined),L2(Suggested),L3,L2(New),L3(Tagged),L4,Amazon Merged  Entry
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,Sindoors,"['(Beauty, Make-up, Face, Sindoors)', '(Fashion, Beauty, Make-up, Face, Sindoors)']"
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,Tinted Moisturiser,"['(Beauty, Make-up, Face, Tinted Moisturisers)', '(Fashion, Beauty, Make-up, Face, Tinted Moisturisers)']"
Beauty & Personal Care,Haircare,Haircare,"Hair Combs, Wigs & Accessories",Haircare,Hair Accessories,Barrettes,"['(Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Clips, Barrettes)']['(Fashion, Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Clips, Barrettes)']"
Beauty & Personal Care,Haircare,Haircare,"Hair Combs, Wigs & Accessories",Haircare,Hair Accessories,Bun Shapers,"['(Beauty, Hair Care, Hair Combs, Wigs & Accessories, Bun Shapers)', '(Fashion, Beauty, Hair Care, Hair Combs, Wigs & Accessories, Bun Shapers)']"
Beauty & Personal Care,Haircare,Haircare,"Hair Combs, Wigs & Accessories",Haircare,Hair Accessories,Claws,"['(Beauty, Hair Care, Hair Combs, Wigs & Accessories, Claws)', '(Fashion, Beauty, Hair Care, Hair Combs, Wigs & Accessories, Claws)']"
Beauty & Personal Care,Haircare,Haircare,Hair Accessories,Haircare,Hair Accessories,Clips,"['(Fashion, Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Clips, Clips)']['(Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Clips, Clips)']"
Beauty & Personal Care,Haircare,Haircare,Hair Accessories,Haircare,Hair Accessories,Hair Comb Slide,"['(Fashion, Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Comb Slides)']['(Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Comb Slides)']"
Beauty & Personal Care,Haircare,Haircare,Hair Accessories,Haircare,Hair Accessories,Hair Drying Towel,"['(Fashion, Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Drying Towels)']['(Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Drying Towels)']"
Beauty & Personal Care,Haircare,Haircare,"Hair Combs, Wigs & Accessories",Haircare,Hair Accessories,Hair Pin,"['(Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Pins)']['(Fashion, Beauty, Hair Care, Hair Combs, Wigs & Accessories, Hair Pins)']"
Beauty & Personal Care,Haircare,Haircare,"Hair Combs, Wigs & Accessories",Haircare,Hair Accessories,Headband,"['(Beauty, Hair Care, Hair Combs, Wigs & Accessories, Headbands)']['(Fashion, Beauty, Hair Care, Hair Combs, Wigs & Accessories, Headbands)']"
Beauty & Personal Care,Haircare,Haircare,Hair Perms & Texturizers,Haircare,Hair Accessories,Perm Accessories,"['(Beauty, Hair Care, Hair Perms & Texturizers, Perm Accessories)', '(Fashion, Beauty, Hair Care, Hair Perms & Texturizers, Perm Accessories)']"
Beauty & Personal Care,Haircare,Haircare,Hair Accessories,Haircare,Hair Accessories,Ponytail Holder,"['(Fashion, Beauty, Hair Care, Hair Combs, Wigs & Accessories, Ponytail Holders)']['(Beauty, Hair Care, Hair Combs, Wigs & Accessories, Ponytail Holders)']"
Beauty & Personal Care,Haircare,Haircare,Hair Care Sets,Haircare,Hair care sets,Hair Care Set,"['(Beauty, Hair Care, Hair Care sets)', '(Fashion, Beauty, Hair Care, Hair Care sets)']"
Beauty & Personal Care,Haircare,Haircare,Hennas,Haircare,Hair Coloring Products,Henna,"['(Beauty, Hair Care, Hennas)']"
Beauty & Personal Care,Haircare,Haircare,Hair Extensions & Wigs,Haircare,Hair Extensions & Wigs,Adhesives,"['(Beauty, Hair Care, Hair Extensions & Wigs, Adhesives)', '(Fashion, Beauty, Hair Care, Hair Extensions & Wigs, Adhesives)']"
Beauty & Personal Care,Haircare,Haircare,Hair Extensions & Wigs,Haircare,Hair Extensions & Wigs,Feather Extensions,"['(Beauty, Hair Care, Hair Extensions & Wigs, Feather Extensions)', '(Fashion, Beauty, Hair Care, Hair Extensions & Wigs, Feather Extensions)']"
Beauty & Personal Care,Haircare,Haircare,Hair Extensions & Wigs,Haircare,Hair Extensions & Wigs,Hair Extensions,"['(Beauty, Hair Care, Hair Extensions & Wigs, Hair Extensions)', '(Fashion, Beauty, Hair Care, Hair Extensions & Wigs, Hair Extensions)']"
Beauty & Personal Care,Haircare,Hair Care,Hair Extensions & Wigs,Haircare,Hair Extensions & Wigs,Hairpieces,"['(Beauty, Hair Care, Hair Extensions & Wigs, Hairpieces)']['(Fashion, Beauty, Hair Care, Hair Extensions & Wigs, Hairpieces)']"
Beauty & Personal Care,Haircare,Haircare,Hair Extensions & Wigs,Haircare,Hair Extensions & Wigs,Wig Head Stands,"['(Beauty, Hair Care, Hair Extensions & Wigs, Wig Head Stands)', '(Fashion, Beauty, Hair Care, Hair Extensions & Wigs, Wig Head Stands)']"
Beauty & Personal Care,Haircare,Hair Care,Hair Extensions & Wigs,Haircare,Hair Extensions & Wigs,Wigs,"['(Beauty, Hair Care, Hair Extensions & Wigs, Wigs)']['(Fashion, Beauty, Hair Care, Hair Extensions & Wigs, Wigs)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Masks & Treatments,Colour Refreshing Masks,"['(Beauty, Hair Care, Hair Color, Colour Refreshers, Colour Refreshing Masks)', '(Fashion, Beauty, Hair Care, Hair Color, Colour Refreshers, Colour Refreshing Masks)']"
Beauty & Personal Care,Haircare,Haircare,Shampoo & Conditioner,Haircare,Hair Masks & Treatments,Deep Conditioners & Treatments,"['(Beauty, Hair Care, Shampoo & Conditioner, Deep Conditioners & Treatments)', '(Fashion, Beauty, Hair Care, Shampoo & Conditioner, Deep Conditioners & Treatments)']"
Beauty & Personal Care,Haircare,Haircare,Hair Masks & Packs,Haircare,Hair Masks & Treatments,Hair Mask,"['(Beauty, Hair Care, Hair Masks & Packs)', '(Fashion, Beauty, Hair Care, Hair Masks & Packs)']"
Beauty & Personal Care,Haircare,Haircare,Hair Loss Products,Haircare,Hair Masks & Treatments,Hair Regrowth Conditioner,"['(Fashion, Beauty, Hair Care, Hair Loss Products, Hair Regrowth Conditioners)']['(Beauty, Hair Care, Hair Loss Products, Hair Regrowth Conditioners)']"
Beauty & Personal Care,Haircare,Haircare,Hair Loss Products,Haircare,Hair Masks & Treatments,Hair Regrowth Treatments,"['(Beauty, Hair Care, Hair Loss Products, Hair Regrowth Treatments)', '(Fashion, Beauty, Hair Care, Hair Loss Products, Hair Regrowth Treatments)']['(Beauty, Hair Care, Hair Loss Products, Hair Regrowth Tonics)', '(Fashion, Beauty, Hair Care, Hair Loss Products, Hair Regrowth Tonics)']"
Beauty & Personal Care,Haircare,Haircare,Hair Perms & Texturizers,Haircare,Hair Masks & Treatments,Hair Relaxers,"['(Beauty, Hair Care, Hair Perms & Texturizers, Hair Relaxers)']['(Fashion, Beauty, Hair Care, Hair Perms & Texturizers, Hair Relaxers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Treatments,Haircare,Hair Masks & Treatments,Henna,"['(Fashion, Beauty, Hair Care, Hennas)']"
Beauty & Personal Care,Haircare,Haircare,Hair Perms & Texturizers,Haircare,Hair Masks & Treatments,Home Perm Kit,"['(Fashion, Beauty, Hair Care, Hair Perms & Texturizers, Home Perm Kits)']['(Beauty, Hair Care, Hair Perms & Texturizers, Home Perm Kits)']"
Beauty & Personal Care,Haircare,Haircare,Scalp Treatments,Haircare,Hair Masks & Treatments,Scalp Treatment,"['(Beauty, Hair Care, Scalp Treatments)', '(Fashion, Beauty, Hair Care, Scalp Treatments)']"
Beauty & Personal Care,Haircare,Haircare,Hair Perms & Texturizers,Haircare,Hair Masks & Treatments,Texturizers,"['(Beauty, Hair Care, Hair Perms & Texturizers, Texturizers)', '(Fashion, Beauty, Hair Care, Hair Perms & Texturizers, Texturizers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Oils,Haircare,Hair Oils & Serums,Hair Oil,"['(Beauty, Hair Care, Hair Oils)', '(Fashion, Beauty, Hair Care, Hair Oils)']['(Beauty, Hair Care, Styling, Oils)', '(Fashion, Beauty, Hair Care, Styling, Oils)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Oils & Serums,Hair Serum,"['(Beauty, Hair Care, Styling, Hair Serums)', '(Fashion, Beauty, Hair Care, Styling, Hair Serums)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Accessories & Parts,"['(Beauty, Tools & Accessories, Hair Removal, Epilators & Accessories, Accessories & Parts)']['(Beauty, Tools & Accessories, Hair Removal, Epilators & Accessories, Epilators)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Epilators & Accessories, Epilators)']['(Fashion, Beauty, Tools & Accessories, Hair Removal, Epilators & Accessories, Accessories & Parts)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Bleaching,"['(Beauty, Tools & Accessories, Hair Removal, Bleaching)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Bleaching)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Cooling & Soothing Treatments,"['(Fashion, Beauty, Tools & Accessories, Hair Removal, Waxing, Cooling & Soothing Treatments)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,"Hair Removal products, tools and accessories",Hair Colour Removers,"['(Beauty, Hair Care, Hair Color, Hair Colour Removers)', '(Fashion, Beauty, Hair Care, Hair Color, Hair Colour Removers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Loss Products,Haircare,"Hair Removal products, tools and accessories",Hair Regrowth Devices,"['(Beauty, Hair Care, Hair Loss Products, Hair Regrowth Devices)', '(Fashion, Beauty, Hair Care, Hair Loss Products, Hair Regrowth Devices)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Hair Removal Creams,"['(Beauty, Tools & Accessories, Hair Removal, Hair Removal Creams)']['(Fashion, Beauty, Tools & Accessories, Hair Removal, Hair Removal Creams)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",IPL Systems,"['(Beauty, Tools & Accessories, Hair Removal, Laser, Light & Electrolysis Hair Removal, IPL, Systems)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Laser, Light & Electrolysis Hair Removal, IPL, Systems)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Laser Hair Removal,"['(Beauty, Tools & Accessories, Hair Removal, Laser, Light & Electrolysis Hair Removal, Laser Hair Removal)']['(Fashion, Beauty, Tools & Accessories, Hair Removal, Laser, Light & Electrolysis Hair Removal, Laser Hair Removal)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Pads,"['(Beauty, Tools & Accessories, Hair Removal, Pads)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Powder,"['(Fashion, Beauty, Tools & Accessories, Hair Removal, Waxing, Powders)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Removal Creams & Oils,"['(Beauty, Tools & Accessories, Hair Removal, Waxing, Removal Creams & Oils)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Roll-On Wax,"['(Beauty, Tools & Accessories, Hair Removal, Waxing, Wax, Roll-Ons)']['(Fashion, Beauty, Tools & Accessories, Hair Removal, Waxing, Wax, Roll-Ons)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Spatulas,"['(Beauty, Tools & Accessories, Hair Removal, Waxing, Spatulas)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Waxing, Spatulas)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Threading Tools,"['(Beauty, Tools & Accessories, Hair Removal, Threading Tools)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Threading Tools)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Tweezers,"['(Beauty, Tools & Accessories, Hair Removal, Tweezers)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Tweezers)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Wax,"['(Beauty, Tools & Accessories, Hair Removal, Waxing, Wax, Pot Wax)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Waxing, Wax, Pot Wax)']['(Beauty, Tools & Accessories, Hair Removal, Waxing, Cooling & Soothing Treatments)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Wax Warmers,"['(Beauty, Tools & Accessories, Hair Removal, Waxing, Wax Warmers & Accessories, Wax Warmers)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Waxing, Wax Warmers & Accessories, Wax Warmers)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Waxing Cleansers,"['(Beauty, Tools & Accessories, Hair Removal, Waxing, Waxing Cleansers)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Waxing Kits,"['(Beauty, Tools & Accessories, Hair Removal, Waxing, Waxing Kits)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Waxing, Waxing Kits)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Waxing Powder,"['(Beauty, Tools & Accessories, Hair Removal, Waxing, Powders)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Hair Removal,Haircare,"Hair Removal products, tools and accessories",Waxing Strips,"['(Beauty, Tools & Accessories, Hair Removal, Waxing, Strips)', '(Fashion, Beauty, Tools & Accessories, Hair Removal, Waxing, Strips)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,"Caps, Foils & Wraps","['(Beauty, Hair Care, Hair Color, Hair Colouring Tools, Caps, Foils & Wraps)']"
Beauty & Personal Care,Haircare,Haircare,Hair Perms & Texturizers,Haircare,Hair Styling Products & Hair Color,Chemical Hair Dyes,"['(Beauty, Hair Care, Hair Perms & Texturizers, Chemical Hair Dyes)', '(Fashion, Beauty, Hair Care, Hair Perms & Texturizers, Chemical Hair Dyes)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Clay,"['(Beauty, Hair Care, Styling, Clays)', '(Fashion, Beauty, Hair Care, Styling, Clays)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Colour Additives & Fillers,"['(Beauty, Hair Care, Hair Color, Colour Additives & Fillers)', '(Fashion, Beauty, Hair Care, Hair Color, Colour Additives & Fillers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Colour Conditioners,"['(Beauty, Hair Care, Hair Color, Colour Refreshers, Colour Conditioners)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Colour Glazes,"['(Beauty, Hair Care, Hair Color, Colour Refreshers, Colour Glazes)', '(Fashion, Beauty, Hair Care, Hair Color, Colour Refreshers, Colour Glazes)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Creams & Lotions,"['(Beauty, Hair Care, Styling, Creams & Lotions)', '(Fashion, Beauty, Hair Care, Styling, Creams & Lotions)']['(Beauty, Hair Care, Styling, Creams, Gels & Lotions)', '(Fashion, Beauty, Hair Care, Styling, Creams, Gels & Lotions)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Detangler,"['(Beauty, Hair Care, Styling, Detanglers)']['(Fashion, Beauty, Hair Care, Detanglers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Developers,"['(Beauty, Hair Care, Hair Color, Developers)', '(Fashion, Beauty, Hair Care, Hair Color, Developers)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Foam,"['(Beauty, Hair Care, Styling, Foams)', '(Fashion, Beauty, Hair Care, Styling, Foams)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Hair Bleach,"['(Beauty, Hair Care, Hair Color, Hair Bleach)', '(Fashion, Beauty, Hair Care, Hair Color, Hair Bleach)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Hair Chalks,"['(Fashion, Beauty, Hair Care, Hair Color, Hair Chalks)']['(Beauty, Hair Care, Hair Color, Hair Chalks)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Hair Fragrance,"['(Beauty, Hair Care, Styling, Hair Fragrances)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Hair Lotion,"['(Beauty, Hair Care, Styling, Hair Lotions & Tonics)', '(Fashion, Beauty, Hair Care, Styling, Hair Lotions & Tonics)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Hair Mascara,"['(Beauty, Hair Care, Hair Color, Hair Mascaras & Root Touch Ups)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Hair Mascara & Root Touch Ups,"['(Fashion, Beauty, Hair Care, Hair Color, Hair Mascaras & Root Touch Ups)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Hair Spray,"['(Beauty, Hair Care, Styling, Hair Sprays & Mists)', '(Fashion, Beauty, Hair Care, Styling, Hair Sprays & Mists)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Henna,"['(Beauty, Hair Care, Hair Color, Hennas)', '(Fashion, Beauty, Hair Care, Hair Color, Hennas)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Highlight Kits,"['(Beauty, Hair Care, Hair Color, Highlight Kits)', '(Fashion, Beauty, Hair Care, Hair Color, Highlight Kits)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Mousse,"['(Beauty, Hair Care, Styling, Mousses)', '(Fashion, Beauty, Hair Care, Styling, Mousses)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Permanent Colour,"['(Beauty, Hair Care, Hair Color, Permanent Colour)', '(Fashion, Beauty, Hair Care, Hair Color, Permanent Colour)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Pomade,"['(Beauty, Hair Care, Styling, Pomades)', '(Fashion, Beauty, Hair Care, Styling, Pomades)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Putties,"['(Beauty, Hair Care, Styling, Putties)', '(Fashion, Beauty, Hair Care, Styling, Putties)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Root Lifting Powder,"['(Beauty, Hair Care, Styling, Root Lifting Powders)', '(Fashion, Beauty, Hair Care, Styling, Root Lifting Powders)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Salt Water Spray,"['(Beauty, Hair Care, Styling, Salt Water Sprays)', '(Fashion, Beauty, Hair Care, Styling, Salt Water Sprays)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Products & Hair Color,Semi-Permanent Colour,"['(Beauty, Hair Care, Hair Color, Semi-Permanent Colour)', '(Fashion, Beauty, Hair Care, Hair Color, Semi-Permanent Colour)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Thermal Protector Spray,"['(Beauty, Hair Care, Styling, Thermal Protector Sprays)', '(Fashion, Beauty, Hair Care, Styling, Thermal Protector Sprays)']"
Beauty & Personal Care,Haircare,Haircare,Styling,Haircare,Hair Styling Products & Hair Color,Wax,"['(Fashion, Beauty, Hair Care, Styling, Waxes)']['(Beauty, Hair Care, Styling, Waxes)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Beauty Tools & Accessories,Hair Styling Tools,Brushes,"['(Beauty, Hair Care, Hair Styling Tools, Brushes)']['(Fashion, Beauty, Hair Care, Hair Styling Tools, Brushes)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Beauty Tools & Accessories,Hair Styling Tools,Comb Attachments,"['(Beauty, Hair Care, Hair Styling Tools, Hair Dryers & Accessories, Comb Attachments)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Hair Dryers & Accessories, Comb Attachments)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Salon & Spa Equipment,Beauty Tools & Accessories,Hair Styling Tools,Drying Hood,"['(Fashion, Beauty, Salon & Spa Equipment, Drying Hoods)']"
Beauty & Personal Care,Makeup,Makeup,Makeup Sets & Kits,Beauty Tools & Accessories,Hair Styling Tools,Eyelash Curler,"['(Beauty, Make-up, Make-up Sets & Kits, Make-up Brush sets, Eyes, Eyelash Curlers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Beauty Tools & Accessories,Hair Styling Tools,Thermal Styling Gloves,"['(Beauty, Hair Care, Hair Styling Tools, Thermal Styling Gloves)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Thermal Styling Gloves)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Tools,Applicator Bottles,"['(Beauty, Hair Care, Hair Color, Hair Colouring Tools, Applicator Bottles)', '(Fashion, Beauty, Hair Care, Hair Color, Hair Colouring Tools, Applicator Bottles)']['(Beauty, Hair Care, Hair Color, Hair Colouring Tools, Hair Colour Applicator Bottles)', '(Fashion, Beauty, Hair Care, Hair Color, Hair Colouring Tools, Hair Colour Applicator Bottles)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Braiders,"['(Beauty, Hair Care, Hair Styling Tools, Braiders)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Braiders)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Tools,Brushes,"['(Beauty, Hair Care, Hair Color, Hair Colouring Tools, Brushes, Combs & Needles)', '(Fashion, Beauty, Hair Care, Hair Color, Hair Colouring Tools, Brushes, Combs & Needles)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Concentrator Nozzles,"['(Beauty, Hair Care, Hair Styling Tools, Hair Dryers & Accessories, Concentrator Nozzles)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Crimper,"['(Beauty, Hair Care, Hair Styling Tools, Irons, Crimpers)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Irons, Crimpers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Curling Iron,"['(Beauty, Hair Care, Hair Styling Tools, Irons, Curling Irons)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Irons, Curling Irons)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Curling Wand,"['(Beauty, Hair Care, Hair Styling Tools, Irons, Curling Wands)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Irons, Curling Wands)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Diffuser,"['(Beauty, Hair Care, Hair Styling Tools, Hair Dryers & Accessories, Diffusers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Drying Hood,"['(Beauty, Hair Care, Hair Styling Tools, Drying Hoods)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Drying Hoods)']['(Beauty, Salon & Spa Equipment, Drying Hoods)']"
Beauty & Personal Care,Haircare,Haircare,Hair Cutting Tools,Haircare,Hair Styling Tools,Finishing Trimmers,"['(Beauty, Hair Care, Hair Cutting Tools, Hair Clippers & Accessories, Finishing Trimmers)', '(Fashion, Beauty, Hair Care, Hair Cutting Tools, Hair Clippers & Accessories, Finishing Trimmers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Cutting Tools,Haircare,Hair Styling Tools,Hair Clippers,"['(Beauty, Hair Care, Hair Cutting Tools, Hair Clippers & Accessories, Hair Clippers)', '(Fashion, Beauty, Hair Care, Hair Cutting Tools, Hair Clippers & Accessories, Hair Clippers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Tools,Hair Colour Mixing Bowls,"['(Beauty, Hair Care, Hair Color, Hair Colouring Tools, Hair Colour Mixing Bowls)', '(Fashion, Beauty, Hair Care, Hair Color, Hair Colouring Tools, Hair Colour Mixing Bowls)']"
Beauty & Personal Care,Haircare,Haircare,Hair Color,Haircare,Hair Styling Tools,Hair Colouring Tools,"['(Fashion, Beauty, Hair Care, Hair Color, Hair Colouring Tools, Caps, Foils & Wraps)']"
Beauty & Personal Care,Haircare,Haircare,Hair Cutting Tools,Haircare,Hair Styling Tools,Hair Cutting Kits,"['(Beauty, Hair Care, Hair Cutting Tools, Hair Cutting Kits)', '(Fashion, Beauty, Hair Care, Hair Cutting Tools, Hair Cutting Kits)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Hair Dryer,"['(Beauty, Hair Care, Hair Styling Tools, Hair Dryers & Accessories, Hair Dryers)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Hair Dryers & Accessories, Hair Dryers)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Hair Dryers & Accessories, Diffusers)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Hair Dryers & Accessories, Concentrator Nozzles)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Hot Air Brush,"['(Beauty, Hair Care, Hair Styling Tools, Hot Air Brushes)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Hot Air Brushes)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Multi-Stylers,"['(Beauty, Hair Care, Hair Styling Tools, Multi-Stylers)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Multi-Stylers)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Haircare,Hair Styling Tools,Rollers,"['(Beauty, Hair Care, Hair Styling Tools, Rollers)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Rollers)']"
