L1,L2 (Defined),L2(Suggested),L3,L2(New),L3(Tagged),L4,Amazon Merged  Entry
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Bathing Accessories,Bath & Body,Bathing Accessories,Washcloths,"['(Beauty, Tools & Accessories, Bathing Accessories, Washcloths)', '(Fashion, Beauty, Tools & Accessories, Bathing Accessories, Washcloths)']['(Beauty, Bath & Body, Bathing Accessories, Washcloths)', '(Fashion, Beauty, Bath & Body, Bathing Accessories, Washcloths)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Washcloths)']['(Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Washcloths)']"
Beauty & Personal Care,Skincare,Skincare,Body,Bath & Body,Body Care,Talcum Powder,"['(Beauty, Skin Care, Body, Talcum Powders)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Body Butter,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Butters)']['(Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Butters)']['(Beauty, Bath & Body, Body Washes, Body Butters)', '(Fashion, Beauty, Bath & Body, Body Washes, Body Butters)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Body Cream,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Creams)']['(Beauty, Bath & Body, Body Washes, Body Creams)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Body Lotion,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Lotions)']['(Beauty, Bath & Body, Body Washes, Body Lotions)', '(Fashion, Beauty, Bath & Body, Body Washes, Body Lotions)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Body Oil,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Oils)']['(Beauty, Bath & Body, Body Washes, Body Oils)', '(Fashion, Beauty, Bath & Body, Body Washes, Body Oils)']['(Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Oils)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Cleansers,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Cleansers, Solid Soap Bars)']['(Beauty, Skin Care, Body, Body & Bath, Cleansers, Strips)', '(Beauty, Skin Care, Body, Body & Bath, Cleansers, Solid Soap Bars)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Face Cream,"['(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Face Creams)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Night Creams)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, DD Creams)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Oils)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, CC Creams)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, BB Creams)']['(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Serums)']['(Beauty, Skin Care, Body, Face Creams & Moisturizers, Face Creams)']['(Beauty, Skin Care, Body, Face Creams & Moisturizers, BB Creams)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, CC Creams)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, Night Creams)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, Tinted Moisturisers)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, DD Creams)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, Serums)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, Oils)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Tinted Moisturisers)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Hand Cream,"['(Fashion, Beauty, Skin Care, Body, Hand Creams and Lotions)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Maternity,"['(Fashion, Beauty, Skin Care, Body, Maternity)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Moisturizer,"['(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Moisturizers)']['(Beauty, Skin Care, Body, Face Creams & Moisturizers, Moisturizers)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Talcum Powder,"['(Fashion, Beauty, Skin Care, Body, Talcum Powders)']"
Beauty & Personal Care,Skincare,Skincare,Body,Skincare,Body Care,Tanners,"['(Beauty, Skin Care, Body, Tanners)', '(Fashion, Beauty, Skin Care, Body, Tanners)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Tattoo Aftercare,"['(Beauty, Make-up, Body, Tattoo Aftercare)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Tub Tea,"['(Beauty, Skin Care, Body, Body & Bath, Bath Additives, Tub Tea)']"
Beauty & Personal Care,Makeup,Makeup,Body,Makeup,Body makeup,Body Glitter,"['(Beauty, Make-up, Body, Body Glitter)', '(Fashion, Beauty, Make-up, Body, Body Glitter)']"
Beauty & Personal Care,Makeup,Makeup,Body,Makeup,Body makeup,Body Paint,"['(Beauty, Make-up, Body, Body Paint)', '(Fashion, Beauty, Make-up, Body, Body Paint)']"
Beauty & Personal Care,Makeup,Makeup,Body Makeup,Makeup,Body makeup,Concealer,"['(Beauty, Make-up, Body, Concealer)', '(Fashion, Beauty, Make-up, Body, Concealer)']"
Beauty & Personal Care,Makeup,Makeup,Body Makeup,Makeup,Body makeup,Highlighter,"['(Beauty, Make-up, Body, Highlighter and Illuminators)', '(Fashion, Beauty, Make-up, Body, Highlighter and Illuminators)']"
Beauty & Personal Care,Makeup,Makeup,Body Makeup,Makeup,Body makeup,Temporary Tattoos,"['(Beauty, Make-up, Body, Temporary Tattoos)']['(Fashion, Beauty, Make-up, Body, Temporary Tattoos)']"
Beauty & Personal Care,Fragrances,Fragrances,Body Sprays & Mists,Fragrances,Body Mists & Sprays,Body Spray,"['(Beauty, Fragrance, Body Sprays & Mists)', '(Fashion, Beauty, Fragrance, Body Sprays & Mists)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Washes,Bath & Body,"Body Oils, Body Butters & Creams",Body Creams,"['(Fashion, Beauty, Bath & Body, Body Washes, Body Creams)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Scrubs,Bath & Body,Body Scrubs & Exfoliators,Body Scrub,"['(Beauty, Bath & Body, Body Scrubs)', '(Fashion, Beauty, Bath & Body, Body Scrubs)']['(Fashion, Beauty, Skin Care, Body, Body & Bath, Body Scrubs)']['(Beauty, Skin Care, Body, Body & Bath, Body Scrubs)']"
Beauty & Personal Care,Haircare,Haircare,Hair Styling Tools,Beauty Tools & Accessories,Combs & Hairbrushes,Comb,"['(Beauty, Hair Care, Hair Styling Tools, Combs)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Combs)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Cotton & Swabs,Beauty Tools & Accessories,Cotton Pads & Swabs,Cotton Swabs,"['(Beauty, Tools & Accessories, Cotton & Swabs)', '(Fashion, Beauty, Tools & Accessories, Cotton & Swabs)']"
Beauty & Personal Care,Skincare,Skincare,Body,Personal Hygiene,Deodorants and Body Fresheners,Antiperspirants,"['(Beauty, Skin Care, Body, Body & Bath, Deodorants & Antiperspirants, Antiperspirants)']['(Beauty, Bath & Body, Deodorants & Antiperspirants, Antiperspirant Deodorant)', '(Fashion, Beauty, Bath & Body, Deodorants & Antiperspirants, Antiperspirant Deodorant)']['(Fashion, Beauty, Skin Care, Body, Body & Bath, Deodorants & Antiperspirants, Antiperspirants)']['(Beauty, Bath & Body, Deodorants & Antiperspirants, Antiperspirants)', '(Fashion, Beauty, Bath & Body, Deodorants & Antiperspirants, Antiperspirants)']['(Personal Care, Deodorant)']['(Beauty, Skin Care, Body, Body & Bath, Deodorants & Antiperspirants, Deodorant)']['(Fashion, Beauty, Skin Care, Body, Body & Bath, Deodorants & Antiperspirants, Antiperspirant Deodorant)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Deodorants & Antiperspirants, Deodorant)']['(Beauty, Bath & Body, Deodorants & Antiperspirants, Deodorant)', '(Fashion, Beauty, Bath & Body, Deodorants & Antiperspirants, Deodorant)']['(Beauty, Skin Care, Body, Body & Bath, Deodorants & Antiperspirants, Antiperspirant Deodorant)']"
Beauty & Personal Care,Skincare,Skincare,Feet Care,Personal Hygiene,Deodorants and Body Fresheners,Shoe Deodorant,"['(Beauty, Skin Care, Feet, Shoe Deodorant)', '(Fashion, Beauty, Skin Care, Feet, Shoe Deodorant)']['(Beauty, Tools & Accessories, Foot Care, Shoe Deodorant)', '(Fashion, Beauty, Tools & Accessories, Foot Care, Shoe Deodorant)']"
Beauty & Personal Care,Fragrances,Fragrances,Eau de Cologne,Fragrances,Eau de Cologne (EDC),Cologne,"['(Fashion, Beauty, Fragrance, Eau de Cologne)']['(Beauty, Fragrance, Eau de Cologne)']"
Beauty & Personal Care,Fragrances,Fragrances,Eau de Parfum,Fragrances,Eau de Parfum (EDP),Eau de Parfum,"['(Beauty, Fragrance, Eau de Parfum)', '(Fashion, Beauty, Fragrance, Eau de Parfum)']"
Beauty & Personal Care,Fragrances,Fragrances,Eau de Toilette,Fragrances,Eau de Toilette (EDT),Eau de Toilette,"['(Beauty, Fragrance, Eau de Toilette)', '(Fashion, Beauty, Fragrance, Eau de Toilette)']"
Beauty & Personal Care,Skincare,Skincare,Eyes,Skincare,Eye Care,Eye Gel,"['(Beauty, Skin Care, Eyes, Eye Gels)', '(Fashion, Beauty, Skin Care, Eyes, Eye Gels)']['(Beauty, Skin Care, Eyes, Eye Creams)', '(Fashion, Beauty, Skin Care, Eyes, Eye Creams)']"
Beauty & Personal Care,Skincare,Skincare,Eyes,Skincare,Eye Care,Eye Serum,"['(Beauty, Skin Care, Eyes, Eye Serums)', '(Fashion, Beauty, Skin Care, Eyes, Eye Serums)']"
Beauty & Personal Care,Skincare,Skincare,Eyes,Skincare,Eye Care,Wrinkle Patches,"['(Beauty, Skin Care, Eyes, Wrinkle Patches)', '(Fashion, Beauty, Skin Care, Eyes, Wrinkle Patches)']"
Beauty & Personal Care,Skincare,Skincare,Eyes,Makeup,Eye Makeup,Balms,"['(Beauty, Skin Care, Eyes, Balms)', '(Fashion, Beauty, Skin Care, Eyes, Balms)']"
Beauty & Personal Care,Makeup,Makeup,Eyes,Makeup,Eye Makeup,Eyebrow Colors,"['(Beauty, Make-up, Eyes, Eyebrow Colors)', '(Fashion, Beauty, Make-up, Eyes, Eyebrow Colors)']"
Beauty & Personal Care,Makeup,Makeup,Eyes,Makeup,Eye Makeup,Eyeliner,"['(Beauty, Make-up, Eyes, Eyeliners)', '(Fashion, Beauty, Make-up, Eyes, Eyeliners)']"
Beauty & Personal Care,Makeup,Makeup,Eyes,Makeup,Eye Makeup,Eyeshadow,"['(Beauty, Make-up, Eyes, Eyeshadow)', '(Fashion, Beauty, Make-up, Eyes, Eyeshadow)']"
Beauty & Personal Care,Makeup,Makeup,Eyes,Makeup,Eye Makeup,Eyeshadow Base & Primer,"['(Fashion, Beauty, Make-up, Eyes, Eyeshadow Bases & Primers)']['(Beauty, Make-up, Eyes, Eyeshadow Bases & Primers)']"
Beauty & Personal Care,Makeup,Makeup,Eyes,Makeup,Eye Makeup,False Lashes,"['(Beauty, Make-up, Eyes, False Lashes)', '(Fashion, Beauty, Make-up, Eyes, False Lashes)']"
Beauty & Personal Care,Makeup,Makeup,Eyes,Makeup,Eye Makeup,Kajal,"['(Beauty, Make-up, Eyes, Kajal & Kohls)', '(Fashion, Beauty, Make-up, Eyes, Kajal & Kohls)']"
Beauty & Personal Care,Makeup,Makeup,Eyes,Makeup,Eye Makeup,Mascara,"['(Beauty, Make-up, Eyes, Mascaras)', '(Fashion, Beauty, Make-up, Eyes, Mascaras)']"
Beauty & Personal Care,Skincare,Skincare,Eyes,Makeup,Eye Makeup,Masks,"['(Beauty, Skin Care, Eyes, Masks)', '(Fashion, Beauty, Skin Care, Eyes, Masks)']"
Beauty & Personal Care,Makeup,Makeup,Make-up Sets & Kits,Beauty Tools & Accessories,Eyelash Curlers & Tweezers,Eyelash Curlers,"['(Fashion, Beauty, Make-up, Make-up Sets & Kits, Make-up Brush sets, Eyes, Eyelash Curlers)']['(Beauty, Tools & Accessories, Make-up Brushes & Tools, Eyes, Eyelash Curlers)', '(Fashion, Beauty, Tools & Accessories, Make-up Brushes & Tools, Eyes, Eyelash Curlers)']"
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Cleansing Cream,"['(Beauty, Skin Care, Face, Cleansing Creams & Milks, Face Wash)', '(Beauty, Skin Care, Face, Cleansing Creams & Milks, Gels)', '(Beauty, Skin Care, Face, Cleansing Creams & Milks, Cleansing Creams & Milks)', '(Beauty, Skin Care, Face, Cleansing Creams & Milks, Soaps)', '(Beauty, Skin Care, Face, Cleansing Creams & Milks, Pads)', '(Fashion, Beauty, Skin Care, Face, Cleansing Creams & Milks, Gels)', '(Fashion, Beauty, Skin Care, Face, Cleansing Creams & Milks, Soaps)', '(Fashion, Beauty, Skin Care, Face, Cleansing Creams & Milks, Pads)']['(Fashion, Beauty, Make-up, Make-up Remover, Makeup Cleansing Creams)']"
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Cleansing Creams & Milks,"['(Beauty, Skin Care, Face, Cleansing Creams & Milks, Cloths & Towelettes)', '(Fashion, Beauty, Skin Care, Face, Cleansing Creams & Milks, Cleansing Creams & Milks)', '(Fashion, Beauty, Skin Care, Face, Cleansing Creams & Milks, Cloths & Towelettes)']"
